Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1508858,Broadacre crops - Cereal crops - Triticale for grain,1825953.55,*,1553430.91,*,Broadacre crops,Triticale for grain,101,Central Tablelands,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,3812726.25,**,3243678.81,**,Broadacre crops,Triticale for grain,102,Central West,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,39047.63,,33219.8,,Broadacre crops,Triticale for grain,103,Greater Sydney,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,3253780.05,*,2768155.04,*,Broadacre crops,Triticale for grain,105,Murray,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,55782.34,,47456.85,,Broadacre crops,Triticale for grain,106,North Coast,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,2309595.43,*,1964889.49,*,Broadacre crops,Triticale for grain,108,North West NSW,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,131544.01,*,111911.14,*,Broadacre crops,Triticale for grain,109,Northern Tablelands,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,3640759.15,*,3097377.71,*,Broadacre crops,Triticale for grain,110,Riverina,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,191628.09,*,163027.69,*,Broadacre crops,Triticale for grain,111,South East NSW,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,60697.05,**,51638.04,**,Broadacre crops,Triticale for grain,112,Western,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,992576.21,**,833724.5,**,Broadacre crops,Triticale for grain,201,Corangamite,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,152833.77,**,128374.28,**,Broadacre crops,Triticale for grain,202,East Gippsland,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,35034.09,**,29427.24,**,Broadacre crops,Triticale for grain,203,Glenelg Hopkins,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,267380.3,**,224588.81,**,Broadacre crops,Triticale for grain,204,Goulburn Broken,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,1802680.54,**,1514179.89,**,Broadacre crops,Triticale for grain,205,Mallee,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,197711.55,**,166069.83,**,Broadacre crops,Triticale for grain,206,North Central,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,658438.31,*,553061.97,*,Broadacre crops,Triticale for grain,207,North East,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,49891.58,**,41906.94,**,Broadacre crops,Triticale for grain,209,West Gippsland,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,166148.77,,139558.36,,Broadacre crops,Triticale for grain,210,Wimmera,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,59957.8,**,49826.49,**,Broadacre crops,Triticale for grain,303,Condamine,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,152047.28,,136350.46,,Broadacre crops,Triticale for grain,401,Adelaide and Mount Lofty Ranges,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,12340.35,**,11066.38,**,Broadacre crops,Triticale for grain,403,Eyre Peninsula,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,93294.29,*,83662.92,*,Broadacre crops,Triticale for grain,404,Kangaroo Island,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,106765.18,**,95743.12,**,Broadacre crops,Triticale for grain,405,Northern and Yorke,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,3880545.48,^,3479931.75,^,Broadacre crops,Triticale for grain,407,South Australian Murray Darling Basin,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,257746.75,*,231137.89,*,Broadacre crops,Triticale for grain,408,South East,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,107936.97,^,98218.13,^,Broadacre crops,Triticale for grain,501,Northern Agricultural,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,929272.65,,845599.29,,Broadacre crops,Triticale for grain,505,South Coast,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,1394880.59,^,1269283.06,^,Broadacre crops,Triticale for grain,507,Wheatbelt,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,40102.61,**,35896.91,**,Broadacre crops,Triticale for grain,601,Cradle Coast,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,25582.06,**,22899.18,**,Broadacre crops,Triticale for grain,602,North,,,
1508858,Broadacre crops - Cereal crops - Triticale for grain,11474.56,,10271.19,,Broadacre crops,Triticale for grain,603,South,,,
