Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1500158,Broadacre crops - Cereal crops - Wheat for grain,32493235.85,^,28593051.47,^,101,Central Tablelands
1500158,Broadacre crops - Cereal crops - Wheat for grain,580200908.5,,510559013.4,,102,Central West
1500158,Broadacre crops - Cereal crops - Wheat for grain,576239.62,,507073.2,,103,Greater Sydney
1500158,Broadacre crops - Cereal crops - Wheat for grain,1267276.1,*,1115164.12,*,104,Hunter
1500158,Broadacre crops - Cereal crops - Wheat for grain,305178180.1,,268547443.2,,105,Murray
1500158,Broadacre crops - Cereal crops - Wheat for grain,28859.45,*,25395.44,*,106,North Coast
1500158,Broadacre crops - Cereal crops - Wheat for grain,599804100.5,,527809221.4,,108,North West NSW
1500158,Broadacre crops - Cereal crops - Wheat for grain,5848792.92,,5146758.47,,109,Northern Tablelands
1500158,Broadacre crops - Cereal crops - Wheat for grain,632299834.7,,556404471.4,,110,Riverina
1500158,Broadacre crops - Cereal crops - Wheat for grain,7792004.61,^,6856725.2,^,111,South East NSW
1500158,Broadacre crops - Cereal crops - Wheat for grain,94245536.48,^,82933183.01,^,112,Western
1500158,Broadacre crops - Cereal crops - Wheat for grain,63926376.44,^,56887832.03,^,201,Corangamite
1500158,Broadacre crops - Cereal crops - Wheat for grain,917920.9,*,816854.22,*,202,East Gippsland
1500158,Broadacre crops - Cereal crops - Wheat for grain,106030899.7,^,94356482.4,^,203,Glenelg Hopkins
1500158,Broadacre crops - Cereal crops - Wheat for grain,55215206.47,^,49135795.99,^,204,Goulburn Broken
1500158,Broadacre crops - Cereal crops - Wheat for grain,389411731.1,,346535974.4,,205,Mallee
1500158,Broadacre crops - Cereal crops - Wheat for grain,223879181.6,,199229206.9,,206,North Central
1500158,Broadacre crops - Cereal crops - Wheat for grain,6675781.04,^,5940751.4,^,207,North East
1500158,Broadacre crops - Cereal crops - Wheat for grain,7086287.95,*,6306059.9,*,208,Port Phillip and Western Port
1500158,Broadacre crops - Cereal crops - Wheat for grain,3836687.49,*,3414253.17,*,209,West Gippsland
1500158,Broadacre crops - Cereal crops - Wheat for grain,205820554.9,,183158905.7,,210,Wimmera
1500158,Broadacre crops - Cereal crops - Wheat for grain,3137123.5,**,2722301.77,**,301,Burnett Mary
1500158,Broadacre crops - Cereal crops - Wheat for grain,58348525.33,^,50633101.9,^,303,Condamine
1500158,Broadacre crops - Cereal crops - Wheat for grain,29738.55,^,25806.22,^,305,Desert Channels
1500158,Broadacre crops - Cereal crops - Wheat for grain,53142419.45,,46115399.22,,306,Fitzroy Basin
1500158,Broadacre crops - Cereal crops - Wheat for grain,8790160.69,,7627838.05,,307,North Queensland Dry Tropics
1500158,Broadacre crops - Cereal crops - Wheat for grain,1439647.8,,1249283.22,,308,Northern Gulf
1500158,Broadacre crops - Cereal crops - Wheat for grain,234738526.5,,203699059.5,,309,Queensland Murray Darling Basin
1500158,Broadacre crops - Cereal crops - Wheat for grain,660047.73,**,572769.64,**,311,South East Queensland
1500158,Broadacre crops - Cereal crops - Wheat for grain,1105149.55,^,959015.66,^,312,South West Queensland
1500158,Broadacre crops - Cereal crops - Wheat for grain,42671128.88,,39339061.06,,401,Adelaide and Mount Lofty Ranges
1500158,Broadacre crops - Cereal crops - Wheat for grain,470970499.3,,434193744.5,,403,Eyre Peninsula
1500158,Broadacre crops - Cereal crops - Wheat for grain,2568998.27,^,2368392.46,^,404,Kangaroo Island
1500158,Broadacre crops - Cereal crops - Wheat for grain,480713374.9,,443175826.4,,405,Northern and Yorke
1500158,Broadacre crops - Cereal crops - Wheat for grain,6990294.72,^,6444442.37,^,406,South Australian Arid Lands
1500158,Broadacre crops - Cereal crops - Wheat for grain,163338980.7,,150584301.4,,407,South Australian Murray Darling Basin
1500158,Broadacre crops - Cereal crops - Wheat for grain,58930214.04,^,54328520.23,^,408,South East
1500158,Broadacre crops - Cereal crops - Wheat for grain,906771723.3,,840143989.9,,501,Northern Agricultural
1500158,Broadacre crops - Cereal crops - Wheat for grain,10371883.7,^,9609778.87,^,502,Peel-Harvey
1500158,Broadacre crops - Cereal crops - Wheat for grain,63486.65,^,58821.78,^,504,Rangelands
1500158,Broadacre crops - Cereal crops - Wheat for grain,430239014.3,,398625930.6,,505,South Coast
1500158,Broadacre crops - Cereal crops - Wheat for grain,97983322.7,^,90783708.35,^,506,South West
1500158,Broadacre crops - Cereal crops - Wheat for grain,1934475.63,^,1804117.79,^,601,Cradle Coast
1500158,Broadacre crops - Cereal crops - Wheat for grain,10474220.07,^,9768397.44,^,602,North
1500158,Broadacre crops - Cereal crops - Wheat for grain,1198276.06,^,1117528.24,^,603,South
1500158,Broadacre crops - Cereal crops - Wheat for grain,8054.77,,7087.95,,801,ACT
