Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),149990675,,147563407.6,,102,Central West
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),301075.72,,296203.48,,103,Greater Sydney
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),8994622.18,^,8849064.11,^,105,Murray
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),692498267.2,,681291714.2,,108,North West NSW
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),12015051.29,^,11820614.25,^,109,Northern Tablelands
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),156028189.7,,153503218.5,,110,Riverina
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),39638506.89,,38997045.32,,112,Western
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),1909897.83,*,1873445.13,*,301,Burnett Mary
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),167734893.1,^,164533470.1,^,303,Condamine
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),83599163.21,^,82003572.21,^,306,Fitzroy Basin
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),3355834.71,*,3291784.55,*,307,North Queensland Dry Tropics
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),365024697.8,*,358057760.6,*,309,Queensland Murray Darling Basin
1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),149024.05,,146179.75,,311,South East Queensland
