Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
5110058,Fruit and nuts - Grapes - Total,6849321.26,^,6849321.26,^,101,Central Tablelands
5110058,Fruit and nuts - Grapes - Total,871285.25,,871285.25,,102,Central West
5110058,Fruit and nuts - Grapes - Total,6761099.02,**,6761099.02,**,104,Hunter
5110058,Fruit and nuts - Grapes - Total,7460160.62,^,7202356.14,^,105,Murray
5110058,Fruit and nuts - Grapes - Total,2106272.29,*,1915346.94,*,108,North West NSW
5110058,Fruit and nuts - Grapes - Total,36696.19,**,36696.19,**,109,Northern Tablelands
5110058,Fruit and nuts - Grapes - Total,115168444.4,,114674725.3,,110,Riverina
5110058,Fruit and nuts - Grapes - Total,499094.55,*,499094.55,*,111,South East NSW
5110058,Fruit and nuts - Grapes - Total,132621298.7,^,125796478.4,^,112,Western
5110058,Fruit and nuts - Grapes - Total,237091.33,**,237091.33,**,201,Corangamite
5110058,Fruit and nuts - Grapes - Total,644511.83,^,644511.83,^,203,Glenelg Hopkins
5110058,Fruit and nuts - Grapes - Total,15012646.18,^,15003281.58,^,204,Goulburn Broken
5110058,Fruit and nuts - Grapes - Total,443984145.3,^,431774852.1,^,205,Mallee
5110058,Fruit and nuts - Grapes - Total,12624445.95,*,12438870.12,*,206,North Central
5110058,Fruit and nuts - Grapes - Total,10631509.09,^,10631509.09,^,207,North East
5110058,Fruit and nuts - Grapes - Total,13354411.52,*,13182973.92,*,208,Port Phillip and Western Port
5110058,Fruit and nuts - Grapes - Total,2289795.34,*,2289795.34,*,210,Wimmera
5110058,Fruit and nuts - Grapes - Total,5135350.72,,4603640.64,,301,Burnett Mary
5110058,Fruit and nuts - Grapes - Total,17265453.5,,15452039.41,,306,Fitzroy Basin
5110058,Fruit and nuts - Grapes - Total,797473.03,^,711904.26,^,307,North Queensland Dry Tropics
5110058,Fruit and nuts - Grapes - Total,563820.17,,503322.33,,308,Northern Gulf
5110058,Fruit and nuts - Grapes - Total,9282741.98,^,8321270.86,^,309,Queensland Murray Darling Basin
5110058,Fruit and nuts - Grapes - Total,22759.53,**,22759.53,**,311,South East Queensland
5110058,Fruit and nuts - Grapes - Total,267485.75,,238784.55,,312,South West Queensland
5110058,Fruit and nuts - Grapes - Total,11350.94,^,11350.94,^,314,Terrain NRM
5110058,Fruit and nuts - Grapes - Total,102490899.3,,102490899.3,,401,Adelaide and Mount Lofty Ranges
5110058,Fruit and nuts - Grapes - Total,66022.05,^,66022.05,^,404,Kangaroo Island
5110058,Fruit and nuts - Grapes - Total,20720219.84,,20720219.84,,405,Northern and Yorke
5110058,Fruit and nuts - Grapes - Total,326536054.2,,326522184.9,,407,South Australian Murray Darling Basin
5110058,Fruit and nuts - Grapes - Total,85470118.25,^,85470118.25,^,408,South East
5110058,Fruit and nuts - Grapes - Total,6458991.01,,6075779.52,,501,Northern Agricultural
5110058,Fruit and nuts - Grapes - Total,849411.83,*,823910.95,*,502,Peel-Harvey
5110058,Fruit and nuts - Grapes - Total,4678065.59,^,4322057.53,^,503,Perth
5110058,Fruit and nuts - Grapes - Total,5826862.96,*,5256870.61,*,504,Rangelands
5110058,Fruit and nuts - Grapes - Total,16177147.95,^,16177147.95,^,505,South Coast
5110058,Fruit and nuts - Grapes - Total,71208032.16,^,71164778.26,^,506,South West
5110058,Fruit and nuts - Grapes - Total,228115.05,,228115.05,,601,Cradle Coast
5110058,Fruit and nuts - Grapes - Total,11087174.99,^,11087174.99,^,602,North
5110058,Fruit and nuts - Grapes - Total,12884946.92,^,12884946.92,^,603,South
5110058,Fruit and nuts - Grapes - Total,5328463.89,,4927621.62,,701,Northern Territory
5110058,Fruit and nuts - Grapes - Total,35167.54,,35167.54,,801,ACT
