Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4304658,Fruit and nuts - Other fruit - Bananas,4635886.45,^,4128286.76,^,Fruit and nuts,Bananas,106,North Coast,,,
4304658,Fruit and nuts - Other fruit - Bananas,159812.43,*,142211.34,*,Fruit and nuts,Bananas,301,Burnett Mary,,,
4304658,Fruit and nuts - Other fruit - Bananas,5005.11,*,4453.87,*,Fruit and nuts,Bananas,302,Cape York,,,
4304658,Fruit and nuts - Other fruit - Bananas,13022.92,,11588.62,,Fruit and nuts,Bananas,307,North Queensland Dry Tropics,,,
4304658,Fruit and nuts - Other fruit - Bananas,329364.15,**,293089.33,**,Fruit and nuts,Bananas,308,Northern Gulf,,,
4304658,Fruit and nuts - Other fruit - Bananas,42340.71,^,37677.47,^,Fruit and nuts,Bananas,310,Reef Catchments,,,
4304658,Fruit and nuts - Other fruit - Bananas,351618.56,^,312892.72,^,Fruit and nuts,Bananas,311,South East Queensland,,,
4304658,Fruit and nuts - Other fruit - Bananas,524864255.6,,467057844.3,,Fruit and nuts,Bananas,314,Terrain NRM,,,
4304658,Fruit and nuts - Other fruit - Bananas,8128558.51,^,7314755.79,^,Fruit and nuts,Bananas,504,Rangelands,,,
4304658,Fruit and nuts - Other fruit - Bananas,7027.05,*,6253.12,*,Fruit and nuts,Bananas,701,Northern Territory,,,
