Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4302258,Fruit and nuts - Other fruit - Strawberries,81325.51,**,71598.1,**,Fruit and nuts,Strawberries,101,Central Tablelands,,,
4302258,Fruit and nuts - Other fruit - Strawberries,535175.87,*,471163.08,*,Fruit and nuts,Strawberries,103,Greater Sydney,,,
4302258,Fruit and nuts - Other fruit - Strawberries,17982.61,**,15831.69,**,Fruit and nuts,Strawberries,106,North Coast,,,
4302258,Fruit and nuts - Other fruit - Strawberries,112532.77,*,99072.64,*,Fruit and nuts,Strawberries,109,Northern Tablelands,,,
4302258,Fruit and nuts - Other fruit - Strawberries,48489.85,*,42689.95,*,Fruit and nuts,Strawberries,111,South East NSW,,,
4302258,Fruit and nuts - Other fruit - Strawberries,14557.9,*,12533.17,*,Fruit and nuts,Strawberries,201,Corangamite,,,
4302258,Fruit and nuts - Other fruit - Strawberries,549965.03,*,473475.46,*,Fruit and nuts,Strawberries,203,Glenelg Hopkins,,,
4302258,Fruit and nuts - Other fruit - Strawberries,163.25,**,140.55,**,Fruit and nuts,Strawberries,204,Goulburn Broken,,,
4302258,Fruit and nuts - Other fruit - Strawberries,140.7,*,121.13,*,Fruit and nuts,Strawberries,206,North Central,,,
4302258,Fruit and nuts - Other fruit - Strawberries,763078.64,**,656949.06,**,Fruit and nuts,Strawberries,207,North East,,,
4302258,Fruit and nuts - Other fruit - Strawberries,84250958.3,^,72533268.52,^,Fruit and nuts,Strawberries,208,Port Phillip and Western Port,,,
4302258,Fruit and nuts - Other fruit - Strawberries,8283.47,**,7131.4,**,Fruit and nuts,Strawberries,209,West Gippsland,,,
4302258,Fruit and nuts - Other fruit - Strawberries,10048552.26,,8600475.2,,Fruit and nuts,Strawberries,301,Burnett Mary,,,
4302258,Fruit and nuts - Other fruit - Strawberries,15523.88,**,13286.76,**,Fruit and nuts,Strawberries,306,Fitzroy Basin,,,
4302258,Fruit and nuts - Other fruit - Strawberries,6473852.38,,5540918.27,,Fruit and nuts,Strawberries,309,Queensland Murray Darling Basin,,,
4302258,Fruit and nuts - Other fruit - Strawberries,6815.68,*,5833.49,*,Fruit and nuts,Strawberries,310,Reef Catchments,,,
4302258,Fruit and nuts - Other fruit - Strawberries,104729935.5,,89637510.92,,Fruit and nuts,Strawberries,311,South East Queensland,,,
4302258,Fruit and nuts - Other fruit - Strawberries,11171302.14,,9733450.28,,Fruit and nuts,Strawberries,401,Adelaide and Mount Lofty Ranges,,,
4302258,Fruit and nuts - Other fruit - Strawberries,8075784.49,,7036354.93,,Fruit and nuts,Strawberries,407,South Australian Murray Darling Basin,,,
4302258,Fruit and nuts - Other fruit - Strawberries,25272.23,**,22019.45,**,Fruit and nuts,Strawberries,408,South East,,,
4302258,Fruit and nuts - Other fruit - Strawberries,13267439.36,^,12419351.07,^,Fruit and nuts,Strawberries,503,Perth,,,
4302258,Fruit and nuts - Other fruit - Strawberries,11094269.51,,10385095.74,,Fruit and nuts,Strawberries,505,South Coast,,,
4302258,Fruit and nuts - Other fruit - Strawberries,16400963.27,,15352572.21,,Fruit and nuts,Strawberries,507,Wheatbelt,,,
4302258,Fruit and nuts - Other fruit - Strawberries,15970731.59,^,13909060.99,^,Fruit and nuts,Strawberries,602,North,,,
4302258,Fruit and nuts - Other fruit - Strawberries,3872004.21,^,3372165.04,^,Fruit and nuts,Strawberries,603,South,,,
