Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
5109958,Fruit and nuts - Grapes - Wine production,6849321.26,^,6849321.26,^,Fruit and nuts,Wine production,101,Central Tablelands,,,
5109958,Fruit and nuts - Grapes - Wine production,871285.25,,871285.25,,Fruit and nuts,Wine production,102,Central West,,,
5109958,Fruit and nuts - Grapes - Wine production,6761099.02,**,6761099.02,**,Fruit and nuts,Wine production,104,Hunter,,,
5109958,Fruit and nuts - Grapes - Wine production,4616083.43,^,4616083.43,^,Fruit and nuts,Wine production,105,Murray,,,
5109958,Fruit and nuts - Grapes - Wine production,36696.19,**,36696.19,**,Fruit and nuts,Wine production,109,Northern Tablelands,,,
5109958,Fruit and nuts - Grapes - Wine production,109721776.7,,109721776.7,,Fruit and nuts,Wine production,110,Riverina,,,
5109958,Fruit and nuts - Grapes - Wine production,499094.55,*,499094.55,*,Fruit and nuts,Wine production,111,South East NSW,,,
5109958,Fruit and nuts - Grapes - Wine production,57330458.97,^,57330458.97,^,Fruit and nuts,Wine production,112,Western,,,
5109958,Fruit and nuts - Grapes - Wine production,237091.33,**,237091.33,**,Fruit and nuts,Wine production,201,Corangamite,,,
5109958,Fruit and nuts - Grapes - Wine production,644511.83,^,644511.83,^,Fruit and nuts,Wine production,203,Glenelg Hopkins,,,
5109958,Fruit and nuts - Grapes - Wine production,14740062.54,^,14740062.54,^,Fruit and nuts,Wine production,204,Goulburn Broken,,,
5109958,Fruit and nuts - Grapes - Wine production,88597481.65,*,88597481.65,*,Fruit and nuts,Wine production,205,Mallee,,,
5109958,Fruit and nuts - Grapes - Wine production,7222726.71,*,7222726.71,*,Fruit and nuts,Wine production,206,North Central,,,
5109958,Fruit and nuts - Grapes - Wine production,10631509.09,^,10631509.09,^,Fruit and nuts,Wine production,207,North East,,,
5109958,Fruit and nuts - Grapes - Wine production,8364226.24,*,8364226.24,*,Fruit and nuts,Wine production,208,Port Phillip and Western Port,,,
5109958,Fruit and nuts - Grapes - Wine production,2289795.34,*,2289795.34,*,Fruit and nuts,Wine production,210,Wimmera,,,
5109958,Fruit and nuts - Grapes - Wine production,179986.2,,179986.2,,Fruit and nuts,Wine production,301,Burnett Mary,,,
5109958,Fruit and nuts - Grapes - Wine production,365025.7,,365025.7,,Fruit and nuts,Wine production,306,Fitzroy Basin,,,
5109958,Fruit and nuts - Grapes - Wine production,322144.76,^,322144.76,^,Fruit and nuts,Wine production,309,Queensland Murray Darling Basin,,,
5109958,Fruit and nuts - Grapes - Wine production,22759.53,**,22759.53,**,Fruit and nuts,Wine production,311,South East Queensland,,,
5109958,Fruit and nuts - Grapes - Wine production,11350.94,^,11350.94,^,Fruit and nuts,Wine production,314,Terrain NRM,,,
5109958,Fruit and nuts - Grapes - Wine production,102490899.3,,102490899.3,,Fruit and nuts,Wine production,401,Adelaide and Mount Lofty Ranges,,,
5109958,Fruit and nuts - Grapes - Wine production,66022.05,^,66022.05,^,Fruit and nuts,Wine production,404,Kangaroo Island,,,
5109958,Fruit and nuts - Grapes - Wine production,20720219.84,,20720219.84,,Fruit and nuts,Wine production,405,Northern and Yorke,,,
5109958,Fruit and nuts - Grapes - Wine production,325931046.3,,325931046.3,,Fruit and nuts,Wine production,407,South Australian Murray Darling Basin,,,
5109958,Fruit and nuts - Grapes - Wine production,85470118.25,^,85470118.25,^,Fruit and nuts,Wine production,408,South East,,,
5109958,Fruit and nuts - Grapes - Wine production,2541533.44,^,2541533.44,^,Fruit and nuts,Wine production,501,Northern Agricultural,,,
5109958,Fruit and nuts - Grapes - Wine production,588723.88,*,588723.88,*,Fruit and nuts,Wine production,502,Peel-Harvey,,,
5109958,Fruit and nuts - Grapes - Wine production,1038700.69,*,1038700.69,*,Fruit and nuts,Wine production,503,Perth,,,
5109958,Fruit and nuts - Grapes - Wine production,16177147.95,^,16177147.95,^,Fruit and nuts,Wine production,505,South Coast,,,
5109958,Fruit and nuts - Grapes - Wine production,70765860.29,^,70765860.29,^,Fruit and nuts,Wine production,506,South West,,,
5109958,Fruit and nuts - Grapes - Wine production,297758.49,**,297758.49,**,Fruit and nuts,Wine production,507,Wheatbelt,,,
5109958,Fruit and nuts - Grapes - Wine production,228115.05,,228115.05,,Fruit and nuts,Wine production,601,Cradle Coast,,,
5109958,Fruit and nuts - Grapes - Wine production,11087174.99,^,11087174.99,^,Fruit and nuts,Wine production,602,North,,,
5109958,Fruit and nuts - Grapes - Wine production,12884946.92,^,12884946.92,^,Fruit and nuts,Wine production,603,South,,,
5109958,Fruit and nuts - Grapes - Wine production,35167.54,,35167.54,,Fruit and nuts,Wine production,801,ACT,,,
