Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
9019959,Total agriculture,838405075.3,,787116074.8,,Total agriculture,Total agriculture,101,Capital Region,,,
9019959,Total agriculture,158264734,^,148584433.3,^,Total agriculture,Total agriculture,102,Central Coast,,,
9019959,Total agriculture,1741994001,,1600347207,,Total agriculture,Total agriculture,103,Central West,,,
9019959,Total agriculture,206291850.5,,194200043,,Total agriculture,Total agriculture,104,Coffs Harbour - Grafton,,,
9019959,Total agriculture,1921312364,,1781729848,,Total agriculture,Total agriculture,105,Far West and Orana,,,
9019959,Total agriculture,398051782.7,,378879266,,Total agriculture,Total agriculture,106,Hunter Valley excluding Newcastle,,,
9019959,Total agriculture,29521946.75,*,28486164.28,*,Total agriculture,Total agriculture,107,Illawarra,,,
9019959,Total agriculture,343634238.5,^,325928781.9,^,Total agriculture,Total agriculture,108,Mid North Coast,,,
9019959,Total agriculture,1989822846,,1834654027,,Total agriculture,Total agriculture,109,Murray,,,
9019959,Total agriculture,3035576334,,2835577934,,Total agriculture,Total agriculture,110,New England and North West,,,
9019959,Total agriculture,12759496.37,^,11744439.92,^,Total agriculture,Total agriculture,111,Newcastle and Lake Macquarie,,,
9019959,Total agriculture,499160635.1,,470924671.7,,Total agriculture,Total agriculture,112,Richmond - Tweed,,,
9019959,Total agriculture,2517828331,,2316351019,,Total agriculture,Total agriculture,113,Riverina,,,
9019959,Total agriculture,138334364,^,133952300.8,^,Total agriculture,Total agriculture,114,Southern Highlands and Shoalhaven,,,
9019959,Total agriculture,203312673.3,,183405987.7,,Total agriculture,Total agriculture,115,Sydney - Baulkham Hills and Hawkesbury,,,
9019959,Total agriculture,42779980.69,*,40261555.2,*,Total agriculture,Total agriculture,116,Sydney - Blacktown,,,
9019959,Total agriculture,111086.02,**,94423.13,**,Total agriculture,Total agriculture,119,Sydney - Inner South West,,,
9019959,Total agriculture,2750857.93,**,2484610.27,**,Total agriculture,Total agriculture,121,Sydney - North Sydney and Hornsby,,,
9019959,Total agriculture,6646101.6,,6124004.34,,Total agriculture,Total agriculture,122,Sydney - Northern Beaches,,,
9019959,Total agriculture,108446781,^,102094500.2,^,Total agriculture,Total agriculture,123,Sydney - Outer South West,,,
9019959,Total agriculture,139149199.9,,127727257.3,^,Total agriculture,Total agriculture,124,Sydney - Outer West and Blue Mountains,,,
9019959,Total agriculture,166835443.1,,154335398.7,,Total agriculture,Total agriculture,127,Sydney - South West,,,
9019959,Total agriculture,688576028.8,,640659779.4,,Total agriculture,Total agriculture,201,Ballarat,,,
9019959,Total agriculture,824750891.2,,775720054.6,,Total agriculture,Total agriculture,202,Bendigo,,,
9019959,Total agriculture,421979038.6,^,395350012.5,^,Total agriculture,Total agriculture,203,Geelong,,,
