Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3602458,Vegetables for human consumption - Carrots,8675.63,**,7102.39,**,101,Central Tablelands
3602458,Vegetables for human consumption - Carrots,1188.48,,972.96,,102,Central West
3602458,Vegetables for human consumption - Carrots,635956.23,**,520631.81,**,103,Greater Sydney
3602458,Vegetables for human consumption - Carrots,21401.83,*,17520.82,*,106,North Coast
3602458,Vegetables for human consumption - Carrots,468825.46,*,383808.57,*,110,Riverina
3602458,Vegetables for human consumption - Carrots,3161834.02,,2325272.64,,202,East Gippsland
3602458,Vegetables for human consumption - Carrots,643356.38,**,473136.47,**,204,Goulburn Broken
3602458,Vegetables for human consumption - Carrots,17600419.2,,12943681.71,,205,Mallee
3602458,Vegetables for human consumption - Carrots,1805397.8,*,1327723.74,*,206,North Central
3602458,Vegetables for human consumption - Carrots,3520970.33,,2589388.29,,208,Port Phillip and Western Port
3602458,Vegetables for human consumption - Carrots,10052422,,7392741.57,,209,West Gippsland
3602458,Vegetables for human consumption - Carrots,16083875.2,,11828386.52,,210,Wimmera
3602458,Vegetables for human consumption - Carrots,3677861.36,**,2653036.58,**,303,Condamine
3602458,Vegetables for human consumption - Carrots,3976626.15,^,2868551.48,^,309,Queensland Murray Darling Basin
3602458,Vegetables for human consumption - Carrots,40198284.21,,28997155.74,,311,South East Queensland
3602458,Vegetables for human consumption - Carrots,15816767.73,,11932714.29,,401,Adelaide and Mount Lofty Ranges
3602458,Vegetables for human consumption - Carrots,33603170.87,,25351389.36,,407,South Australian Murray Darling Basin
3602458,Vegetables for human consumption - Carrots,15818630.5,,9011543.51,,501,Northern Agricultural
3602458,Vegetables for human consumption - Carrots,19630937.01,,11183334.93,,502,Peel-Harvey
3602458,Vegetables for human consumption - Carrots,69150.22,**,39393.44,**,503,Perth
3602458,Vegetables for human consumption - Carrots,687.04,*,391.39,*,505,South Coast
3602458,Vegetables for human consumption - Carrots,6897258.43,,3929224.12,,506,South West
3602458,Vegetables for human consumption - Carrots,26932186.62,,21251932.97,,601,Cradle Coast
3602458,Vegetables for human consumption - Carrots,9328110.62,^,7360723.6,^,602,North
